Program,Testcase,Iteration,Round,Time,Type
merge.c,1200,0,2,0.0024929046630859375,Random
quick2.c,1200,0,3,0.003721952438354492,Random
merge.c,1200,0,3,0.0032608509063720703,Random
quick2.c,1200,0,4,0.002935171127319336,Random
merge.c,1200,0,4,0.0026340484619140625,Random
quick2.c,1200,1,0,0.0025582313537597656,Random
merge.c,1200,1,0,0.003735065460205078,Random
quick2.c,1200,1,1,0.0037376880645751953,Random
merge.c,1200,1,1,0.002789735794067383,Random
quick2.c,1200,1,2,0.0027420520782470703,Random
merge.c,1200,1,2,0.002599954605102539,Random
quick2.c,1200,1,3,0.002717733383178711,Random
merge.c,1200,1,3,0.003859996795654297,Random
quick2.c,1200,1,4,0.003203868865966797,Random
merge.c,1200,1,4,0.0027298927307128906,Random
quick2.c,1200,0,0,0.003065824508666992,Sorted
merge.c,1200,0,0,0.0025353431701660156,Sorted
quick2.c,1200,0,1,0.004003047943115234,Sorted
merge.c,1200,0,1,0.00521397590637207,Sorted
quick2.c,1200,0,2,0.004086017608642578,Sorted
merge.c,1200,0,2,0.003919839859008789,Sorted
quick2.c,1200,0,3,0.005088090896606445,Sorted
merge.c,1200,0,3,0.004485130310058594,Sorted
quick2.c,1200,0,4,0.0041768550872802734,Sorted
merge.c,1200,0,4,0.0027489662170410156,Sorted
quick2.c,1200,0,0,0.0037550926208496094,Reverse
merge.c,1200,0,0,0.003731250762939453,Reverse
quick2.c,1200,0,1,0.00593113899230957,Reverse
merge.c,1200,0,1,0.006521940231323242,Reverse
quick2.c,1200,0,2,0.005487918853759766,Reverse
merge.c,1200,0,2,0.003351926803588867,Reverse
quick2.c,1200,0,3,0.004730939865112305,Reverse
merge.c,1200,0,3,0.003525257110595703,Reverse
quick2.c,1200,0,4,0.004703998565673828,Reverse
merge.c,1200,0,4,0.002702951431274414,Reverse
quick2.c,1200,0,0,0.0029337406158447266,BestQuick
merge.c,1200,0,0,0.0024712085723876953,BestQuick
quick2.c,1200,0,1,0.0033469200134277344,BestQuick
merge.c,1200,0,1,0.003381967544555664,BestQuick
quick2.c,1200,0,2,0.0033349990844726562,BestQuick
merge.c,1200,0,2,0.0032291412353515625,BestQuick
quick2.c,1200,0,3,0.0034439563751220703,BestQuick
merge.c,1200,0,3,0.003173828125,BestQuick
quick2.c,1200,0,4,0.003771066665649414,BestQuick
merge.c,1200,0,4,0.002645730972290039,BestQuick
quick2.c,1400,0,0,0.002742767333984375,Random
merge.c,1400,0,0,0.002888202667236328,Random
quick2.c,1400,0,1,0.004094839096069336,Random
merge.c,1400,0,1,0.0035028457641601562,Random
quick2.c,1400,0,2,0.003259897232055664,Random
merge.c,1400,0,2,0.0030982494354248047,Random
quick2.c,1400,0,3,0.002763032913208008,Random
merge.c,1400,0,3,0.004450082778930664,Random
quick2.c,1400,0,4,0.0033388137817382812,Random
merge.c,1400,0,4,0.002897977828979492,Random
quick2.c,1400,1,0,0.0028867721557617188,Random
merge.c,1400,1,0,0.0028607845306396484,Random
quick2.c,1400,1,1,0.004081010818481445,Random
merge.c,1400,1,1,0.0035898685455322266,Random
quick2.c,1400,1,2,0.002866983413696289,Random
merge.c,1400,1,2,0.0026230812072753906,Random
quick2.c,1400,1,3,0.002481698989868164,Random
merge.c,1400,1,3,0.003985881805419922,Random
quick2.c,1400,1,4,0.0033791065216064453,Random
merge.c,1400,1,4,0.0030820369720458984,Random
quick2.c,1400,0,0,0.0031952857971191406,Sorted
merge.c,1400,0,0,0.0025179386138916016,Sorted
quick2.c,1400,0,1,0.004794120788574219,Sorted
merge.c,1400,0,1,0.0035791397094726562,Sorted
quick2.c,1400,0,2,0.003709077835083008,Sorted
merge.c,1400,0,2,0.0033330917358398438,Sorted
quick2.c,1400,0,3,0.004220724105834961,Sorted
merge.c,1400,0,3,0.002694845199584961,Sorted
quick2.c,1400,0,4,0.0031180381774902344,Sorted
merge.c,1400,0,4,0.0025331974029541016,Sorted
quick2.c,1400,0,0,0.003390073776245117,Reverse
