Program,Testcase,Memory
selection.c,70200,3697000
insertion.c,70200,3825000
bubble.c,70700,3681000
selection.c,70700,3681000
insertion.c,70700,3745000
bubble.c,71200,3729000
selection.c,71200,3729000
insertion.c,71200,3713000
bubble.c,71700,3649000
selection.c,71700,3681000
insertion.c,71700,3697000
bubble.c,72200,3681000
selection.c,72200,3633000
insertion.c,72200,3665000
bubble.c,72700,3697000
selection.c,72700,3617000
insertion.c,72700,3617000
bubble.c,73200,3713000
selection.c,73200,3681000
insertion.c,73200,3729000
bubble.c,73700,3745000
selection.c,73700,3713000
insertion.c,73700,3713000
bubble.c,74200,3825000
selection.c,74200,3697000
insertion.c,74200,3665000
bubble.c,74700,3777000
selection.c,74700,3713000
insertion.c,74700,3633000
bubble.c,75200,3777000
selection.c,75200,3713000
insertion.c,75200,3617000
bubble.c,75700,3745000
selection.c,75700,3729000
insertion.c,75700,3745000
bubble.c,76200,3777000
selection.c,76200,3729000
insertion.c,76200,3809000
bubble.c,76700,3665000
selection.c,76700,3681000
insertion.c,76700,3745000
bubble.c,77200,3761000
selection.c,77200,3697000
insertion.c,77200,3745000
bubble.c,77700,3745000
selection.c,77700,3761000
insertion.c,77700,3713000
bubble.c,78200,3745000
selection.c,78200,3729000
insertion.c,78200,3745000
bubble.c,78700,3809000
selection.c,78700,3681000
insertion.c,78700,3697000
bubble.c,79200,3681000
selection.c,79200,3761000
insertion.c,79200,3713000
bubble.c,79700,3729000
selection.c,79700,3745000
insertion.c,79700,3729000
bubble.c,80200,3697000
selection.c,80200,3745000
insertion.c,80200,3697000
bubble.c,80700,3649000
selection.c,80700,3729000
insertion.c,80700,3649000
bubble.c,81200,3697000
selection.c,81200,3793000
insertion.c,81200,3665000
bubble.c,81700,3889000
selection.c,81700,3761000
insertion.c,81700,3649000
bubble.c,82200,3745000
selection.c,82200,3825000
insertion.c,82200,3745000
bubble.c,82700,3809000
selection.c,82700,3697000
insertion.c,82700,3761000
bubble.c,83200,3729000
selection.c,83200,3761000
insertion.c,83200,3681000
bubble.c,83700,3729000
selection.c,83700,3761000
insertion.c,83700,3761000
bubble.c,84200,3761000
selection.c,84200,3713000
insertion.c,84200,3809000
bubble.c,84700,3745000
selection.c,84700,3809000
insertion.c,84700,3777000
bubble.c,85200,3697000
selection.c,85200,3793000
insertion.c,85200,3777000
bubble.c,85700,3745000
selection.c,85700,3745000
insertion.c,85700,3745000
bubble.c,86200,3777000
selection.c,86200,3825000
insertion.c,86200,3793000
bubble.c,86700,3777000
selection.c,86700,3825000
insertion.c,86700,3681000
bubble.c,87200,3745000
selection.c,87200,3713000
insertion.c,87200,3729000
bubble.c,87700,3729000
selection.c,87700,3745000
insertion.c,87700,3777000
bubble.c,88200,3761000
selection.c,88200,3697000
insertion.c,88200,3713000
bubble.c,88700,3857000
selection.c,88700,3713000
insertion.c,88700,3761000
bubble.c,89200,3809000
selection.c,89200,3793000
insertion.c,89200,3777000
bubble.c,89700,3729000
selection.c,89700,3745000
insertion.c,89700,3777000
bubble.c,90200,3761000
selection.c,90200,3825000
insertion.c,90200,3809000
bubble.c,90700,3777000
selection.c,90700,3825000
insertion.c,90700,3777000
bubble.c,91200,3793000
selection.c,91200,3825000
insertion.c,91200,3729000
bubble.c,91700,3697000
selection.c,91700,3729000
insertion.c,91700,3841000
bubble.c,92200,3825000
selection.c,92200,3825000
insertion.c,92200,3729000
bubble.c,92700,3761000
selection.c,92700,3729000
insertion.c,92700,3809000
bubble.c,93200,3793000
selection.c,93200,3745000
insertion.c,93200,3825000
bubble.c,93700,3697000
selection.c,93700,3713000
insertion.c,93700,3697000
bubble.c,94200,3761000
selection.c,94200,3761000
insertion.c,94200,3809000
bubble.c,94700,3729000
selection.c,94700,3793000
insertion.c,94700,3825000
bubble.c,95200,3841000
selection.c,95200,3809000
insertion.c,95200,3793000
bubble.c,95700,3825000
selection.c,95700,3777000
insertion.c,95700,3761000
bubble.c,96200,3793000
selection.c,96200,3809000
insertion.c,96200,3809000
bubble.c,96700,3745000
selection.c,96700,3841000
insertion.c,96700,3681000
bubble.c,97200,3745000
selection.c,97200,3793000
insertion.c,97200,3809000
bubble.c,97700,3761000
selection.c,97700,3793000
insertion.c,97700,3729000
bubble.c,98200,3857000
selection.c,98200,3745000
insertion.c,98200,3809000
bubble.c,98700,3809000
selection.c,98700,3777000
insertion.c,98700,3793000
bubble.c,99200,3809000
selection.c,99200,3761000
insertion.c,99200,3809000
bubble.c,99700,3761000
selection.c,99700,3857000
insertion.c,99700,3825000
