Program,Testcase,Type,Iteration,Time,Program_Type
bubble.c,24800,random,0.5,1882.0988535881038,bubble.c random
bubble.c,24800,reverse,1.5,1527.9086232185375,bubble.c reverse
bubble.c,24800,sorted,1.5,1028.0568599700941,bubble.c sorted
bubble.c,25000,random,0.5,1900.4967510700237,bubble.c random
bubble.c,25000,reverse,1.5,1515.3799653053275,bubble.c reverse
bubble.c,25000,sorted,1.5,926.2005090713503,bubble.c sorted
bubble.c,25200,random,0.5,1931.64575099945,bubble.c random
bubble.c,25200,reverse,1.5,1564.6635890007,bubble.c reverse
bubble.c,25200,sorted,1.5,987.9323840141308,bubble.c sorted
bubble.c,25400,random,0.5,2024.1090357303638,bubble.c random
bubble.c,25400,reverse,1.5,1553.19082736969,bubble.c reverse
bubble.c,25400,sorted,1.5,976.6772389411938,bubble.c sorted
bubble.c,25600,random,0.5,2005.9814155101776,bubble.c random
bubble.c,25600,reverse,1.5,1599.6634960174574,bubble.c reverse
bubble.c,25600,sorted,1.5,1080.5723071098341,bubble.c sorted
bubble.c,25800,random,0.5,2027.3627042770374,bubble.c random
bubble.c,25800,reverse,1.5,1625.21719932556,bubble.c reverse
bubble.c,25800,sorted,1.5,1042.3484444618207,bubble.c sorted
bubble.c,26000,random,0.5,2033.2219898700723,bubble.c random
bubble.c,26000,reverse,1.5,1628.8036704063425,bubble.c reverse
bubble.c,26000,sorted,1.5,1051.2685775756827,bubble.c sorted
bubble.c,26200,random,0.5,2060.1858794689174,bubble.c random
bubble.c,26200,reverse,1.5,1587.5272750854501,bubble.c reverse
bubble.c,26200,sorted,1.5,982.4705123901358,bubble.c sorted
bubble.c,26400,random,0.5,2099.934101104735,bubble.c random
bubble.c,26400,reverse,1.5,1641.379177570345,bubble.c reverse
bubble.c,26400,sorted,1.5,1019.6362733840961,bubble.c sorted
bubble.c,26600,random,0.5,2102.649182081224,bubble.c random
bubble.c,26600,reverse,1.5,1616.4827942848226,bubble.c reverse
bubble.c,26600,sorted,1.5,1029.684484004972,bubble.c sorted
bubble.c,26800,random,0.5,2089.3839895725264,bubble.c random
bubble.c,26800,reverse,1.5,1624.9164342880276,bubble.c reverse
bubble.c,26800,sorted,1.5,1063.7610554695125,bubble.c sorted
bubble.c,27000,random,0.5,2147.3183333873762,bubble.c random
bubble.c,27000,reverse,1.5,1663.501024246215,bubble.c reverse
bubble.c,27000,sorted,1.5,1006.0954093933098,bubble.c sorted
bubble.c,27200,random,0.5,2186.810195446015,bubble.c random
bubble.c,27200,reverse,1.5,1675.6946444511425,bubble.c reverse
